ANDALUCÍA	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	25.0	17.0	-32.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	137.0	88.0	-35.8	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	63.0	50.0	-20.6	
    6.-TRÁFICO DE DROGAS (EU)	10.0	12.0	20.0	
    7.-DAÑOS	148.0	157.0	6.1	
    8.-HURTOS	295.0	289.0	-2.0	
- Municipio de Vélez-Málaga	
    1.-DELITOS Y FALTAS (EU)	642.0	626.0	-2.5	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	7.0	10.0	42.9	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	53.0	21.0	-60.4	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	14.0	6.0	-57.1	
    6.-TRÁFICO DE DROGAS (EU)	13.0	7.0	-46.2	
    7.-DAÑOS	87.0	74.0	-14.9	
    8.-HURTOS	181.0	202.0	11.6	
- Municipio de Torremolinos	
    1.-DELITOS Y FALTAS (EU)	1055.0	966.0	-8.4	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	2.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	27.0	22.0	-18.5	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	31.0	33.0	6.5	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	18.0	16.0	-11.1	
    6.-TRÁFICO DE DROGAS (EU)	9.0	17.0	88.9	
    7.-DAÑOS	111.0	110.0	-0.9	
    8.-HURTOS	333.0	340.0	2.1	
Provincia de SEVILLA	
    1.-DELITOS Y FALTAS (EU)	22318.0	19728.0	-11.6	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	2.0	3.0	50.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	595.0	624.0	4.9	
