Item;Serving Size;Calories;Calories from Fat;Total Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein;Category ID
Hot Chocolate with Nonfat Milk (Large);20 fl oz cup;400.0;35 cal;3,5;2.5;0.0;20;280;74;1;69;19;4
Regular Iced Coffee (Small);16 fl oz cup;140.0;40 cal;4,5;3.0;0.0;15;35;23;0;22;1;4
Regular Iced Coffee (Medium);22 fl oz cup;190.0;60 cal;7,0;4.5;0.0;25;50;31;0;30;1;4
Regular Iced Coffee (Large);32 fl oz cup;270.0;80 cal;9,0;6.0;0.0;35;75;47;0;45;2;4
Caramel Iced Coffee (Small);16 fl oz cup;130.0;40 cal;4,5;3.0;0.0;15;35;22;0;21;1;4
Caramel Iced Coffee (Medium);22 fl oz cup;180.0;60 cal;7,0;4.5;0.0;25;50;29;0;28;1;4
Caramel Iced Coffee (Large);32 fl oz cup;260.0;80 cal;9,0;6.0;0.0;35;65;43;0;42;2;4
Hazelnut Iced Coffee (Small);16 fl oz cup;130.0;40 cal;4,5;3.0;0.0;15;35;21;0;20;1;4
Hazelnut Iced Coffee (Medium);22 fl oz cup;180.0;60 cal;7,0;4.5;0.0;25;50;29;0;28;1;4
Hazelnut Iced Coffee (Large);32 fl oz cup;250.0;80 cal;9,0;6.0;0.0;35;75;43;0;41;2;4
French Vanilla Iced Coffee (Small);16 fl oz cup;120.0;40 cal;4,5;3.0;0.0;15;40;20;0;19;1;4
French Vanilla Iced Coffee (Medium);22 fl oz cup;170.0;60 cal;7,0;4.5;0.0;25;55;27;0;26;1;4
French Vanilla Iced Coffee (Large);32 fl oz cup;240.0;80 cal;9,0;6.0;0.0;35;80;41;0;39;2;4
Iced Coffee with Sugar Free French Vanilla Syrup (Small);16 fl oz cup;80.0;40 cal;4,5;3.0;0.0;15;65;9;0;1;1;4
Iced Coffee with Sugar Free French Vanilla Syrup (Medium);22 fl oz cup;120.0;60 cal;7,0;4.5;0.0;25;90;12;0;2;1;4
Iced Coffee with Sugar Free French Vanilla Syrup (Large);32 fl oz cup;160.0;80 cal;9,0;6.0;0.0;35;135;18;0;2;2;4
Iced Mocha (Small);12 fl oz cup;290.0;100 cal;11,0;7.0;0.0;35;125;41;1;34;8;4
Iced Mocha (Medium);16 fl oz cup;350.0;110 cal;13,0;8.0;0.0;40;150;50;1;43;9;4
Iced Mocha (Large);22 fl oz cup;480.0;150 cal;16,0;10.0;0.5;50;220;70;2;62;14;4
Iced Mocha with Nonfat Milk (Small);12 fl oz cup;240.0;45 cal;5,0;3.0;0.0;20;125;41;1;35;8;4
Iced Mocha with Nonfat Milk (Medium);16 fl oz cup;290.0;45 cal;5,0;3.5;0.0;20;150;50;1;43;10;4
Iced Mocha with Nonfat Milk (Large);22 fl oz cup;390.0;50 cal;6,0;3.5;0.0;25;220;71;2;62;14;4
Iced Caramel Mocha (Small);12 fl oz cup;280.0;100 cal;11,0;7.0;0.0;35;140;38;0;33;8;4
Iced Caramel Mocha (Medium);16 fl oz cup;340.0;110 cal;13,0;7.0;0.0;40;170;46;1;41;9;4
Iced Caramel Mocha (Large);22 fl oz cup;460.0;150 cal;16,0;10.0;0.5;50;250;65;1;59;13;4
Iced Nonfat Caramel Mocha (Small);12 fl oz cup;230.0;45 cal;5,0;3.0;0.0;20;140;38;0;33;8;4
